asset_id,current_los,method_1_cost,method_2_cost,method_3_cost,weight,SHAPE_Leng
1011007,5.1,3123.2,12492.8,54656,0.09,168.2614019
1011008,6.7,8320.5,33282,145608.75,0.23,108.6615607
1011009,6.2,5388.5,21554,94298.75,0.15,89.15552521
1011010,6.8,5338.4,21353.6,93422,0.15,56.49883237
1011011,7.1,1851.1,7404.4,32394.25,0.05,26.83029178
1011012,5.3,7237.1,28948.4,126649.25,0.2,110.1692735
1011013,3.2,4624.4,18497.6,80927,0.13,58.68364508
1011014,6.5,4441.1,17764.4,77719.25,0.12,44.85506209
1011015,8,5186.2,20744.8,90758.5,0.14,67.40873694
1011016,7.5,812.1,3248.4,14211.75,0.02,15.22664173
1011017,7,5591.325,22365.3,111826.5,0.2,99.01020236
1011018,7,11697.1,46788.4,204699.25,0.32,172.1334814
1011019,6.2,6370.35,25481.4,127407,0.23,120.5755376
1011020,4.4,602.9,2411.6,10550.75,0.02,7.77690058
1011021,7.3,3101.5,12406,54276.25,0.09,46.10271093
1011022,6,3333.9,13335.6,58343.25,0.09,33.09948363
1011023,7.1,2405.3,9621.2,42092.75,0.07,31.31324795
1011024,3,24590.6,98362.4,430335.5,0.68,253.4404117
1011025,6.3,1195.3,4781.2,20917.75,0.03,17.84669835
1011026,6.7,727.3,2909.2,12727.75,0.02,12.06489783
1011027,6.2,4899,19596,85732.5,0.13,106.9928684
1011028,7,2380.1,9520.4,41651.75,0.07,39.90039935
1011029,5.9,3264.1,13056.4,57121.75,0.09,40.54868199
1011030,6.9,347.2,1388.8,6076,0.01,9.128422461
1011031,7.4,52687.1,210748.4,922024.25,1.44,487.9889293
1011032,6.3,1232.8,4931.2,21574,0.03,13.48730553
1011033,6,2345.4,9381.6,41044.5,0.06,40.7635657
1011034,5.3,2004.9,8019.6,35085.75,0.05,23.79601144
1011035,6.8,17822.9,71291.6,311900.75,0.49,97.41180936
1011036,5.8,1429.6,5718.4,25018,0.04,27.23181586
1011037,6,16693.7,66774.8,292139.75,0.46,133.706042
1011038,7.6,13779.5,55118,241141.25,0.38,122.100028
1011039,8.7,24248.8,96995.2,424354,0.66,177.6314335
1011040,5.9,5655.4,22621.6,98969.5,0.15,80.71270569
1011041,8.5,10819.1,43276.4,189334.25,0.3,117.8247841
1011042,8.6,23957.1,95828.4,419249.25,0.65,285.4907968
1011043,7.6,2873.7,11494.8,50289.75,0.08,26.06029195
1011044,5.1,1223.2,4892.8,21406,0.03,11.96299782
1011045,6.5,60101.3,240405.2,1051772.75,1.64,502.4032741
1011046,5.1,2335,9340,40862.5,0.06,43.13453877
1011047,4.1,1174.875,4699.5,23497.5,0.04,26.41498014
1011048,6.2,2843.2,11372.8,49756,0.08,44.53842052
1011049,5.3,10243.8,40975.2,179266.5,0.28,77.79881331
1011050,6.6,3459.7,13838.8,60544.75,0.09,39.33272127
1011051,7.9,11358.7,45434.8,198777.25,0.31,128.1162044
1011052,5.4,4101.2,16404.8,71771,0.11,29.59542899
1011053,6.8,4010.6,16042.4,70185.5,0.11,42.54525122
1011054,6.3,9281.7,37126.8,162429.75,0.25,78.02153841
1011055,5.5,2044.1,8176.4,35771.75,0.06,30.31158407
1011056,7.5,24697.3,98789.2,432202.75,0.68,249.2534215
1011057,2.4,47894.55,191578.2,957891,1.75,771.5356396
1011058,6,18662.7,74650.8,326597.25,0.51,230.7643033
1011059,6.7,1097.3,4389.2,19202.75,0.03,24.35901119
1011060,7.7,1660.4,6641.6,29057,0.04,28.07741613
1011061,7.7,14933.7,59734.8,261339.75,0.41,143.2105224
1011062,6.3,2366.6,9466.4,41415.5,0.06,55.86301116
1011063,4.2,3052.6,12210.4,53420.5,0.08,36.62998459
1011064,4.9,3115,12460,54512.5,0.09,54.12006098
1011065,7.3,24124.3,96497.2,422175.25,0.66,173.9484571
1011066,7.9,682.3,2729.2,11940.25,0.02,11.71401367
1011067,3.2,18290.6,73162.4,320085.5,0.5,232.3183932
1011068,7.3,5477.8,21911.2,95861.5,0.15,77.056
1011069,5.3,8161,32644,142817.5,0.22,107.5961002
1011070,6.3,14451.5,57806,252901.25,0.4,172.8301986
1011071,8,10874.6,43498.4,190305.5,0.3,153.9441531
1011072,6.1,12037.7,48150.8,210659.75,0.33,172.038562
1011073,6.6,249.8,999.2,4371.5,0.01,331.8377255
1011074,4.5,3341.1,13364.4,58469.25,0.09,40.47792713
1011075,2.9,14446.2,57784.8,252808.5,0.39,153.3382147
1011076,8.2,2524.6,10098.4,44180.5,0.07,29.47313435
1011077,7.8,3087.5,12350,54031.25,0.08,25.79864809
1011078,7.5,5448.2,21792.8,95343.5,0.15,69.84248314
1011079,4,18005.6,72022.4,315098,0.49,260.3664307
1011080,7,7052.4,28209.6,123417,0.19,88.45208781
1011081,6,3565.3,14261.2,62392.75,0.1,33.54316787
1011082,8.4,18699.9,74799.6,327248.25,0.51,185.5120754
1011083,8,27473.6,109894.4,480788,0.75,199.6026487
1011084,7.4,24110.2,96440.8,421928.5,0.66,285.4790355
1011085,7.9,4633.9,18535.6,81093.25,0.13,60.13122305
1011086,3.6,17747.1,70988.4,310574.25,0.49,210.6163617
1011087,6,3536.7,14146.8,61892.25,0.1,52.95702098
1011088,5.4,17977.2,71908.8,314601,0.49,147.1558502
1011089,7.7,8068.7,32274.8,141202.25,0.22,72.11245335
1011090,6.2,568.7,2274.8,9952.25,0.02,10.95540255
1011091,5.9,545.5,2182,9546.25,0.01,10.71763941
1011092,7.8,10339.8,41359.2,180946.5,0.28,177.2545204
1011093,8.2,7284.5,29138,127478.75,0.2,97.45975707
1011094,8,109595.3,438381.2,1917917.75,3,718.7875984
1011095,6.1,9413.6,37654.4,164738,0.26,98.0740393
1011096,4.7,3425,13700,59937.5,0.09,49.55388298
1011097,8,10074.9,40299.6,176310.75,0.28,169.4901137
1011098,7.1,4438.5,17754,77673.75,0.12,62.63887159
1011099,5.5,33928.6,135714.4,593750.5,0.93,419.341871
1011100,7.3,1508.2,6032.8,26393.5,0.04,22.26012434
1011101,5.9,1892.5,7570,33118.75,0.05,26.45713285
1011102,3.4,2183.8,8735.2,38216.5,0.06,29.650832
1011103,5.5,795.1,3180.4,13914.25,0.02,14.49932995
1011104,6.8,18645.2,74580.8,326291,0.51,155.1090345
1011105,6.3,403.05,1612.2,8061,0.01,10.75856345
1011106,7,25489.8,101959.2,446071.5,0.7,212.5654185
1011107,7.5,3496.1,13984.4,61181.75,0.1,41.99777507
1011108,6.1,64129.5,256518,1122266.25,1.75,444.9847751
